id,tweet_text,emotion
1.03E+18,EU VOU PEGAR VCS,Raiva
1.03E+18,Estávamos em casa do Zé e eu estava a morrer de sono,Sarcasmo
1.03E+18,Solteiro s sozinho sempre :),Tristeza
1.03E+18,Lindezas Cortador kit Mário coleção Bia Cravol já esta cadastrado no site,Neutralidade
1.03E+18,mano seria eu a única pessoa q usa emoji SÓ com a família? tipo eu tenho medo de parecer grosso mandando um :),Neutralidade
1.03E+18,Fala galera,Neutralidade
1.03E+18,alguém me quer adotar ? eu sou um mochi muito fofo eu sou baixinha adora carinho e retribuo amo comida adoro dormir agarradinho algum interesse? :´),Dúvida
1.03E+18,Bora deitar de conchinha,Dúvida
1.03E+18,tudo se acertando aqui em casa :),Felicidade
1.03E+18,o dia de hoje foi bom,Felicidade
1.03E+18,12. friozinho :)),Felicidade
1.03E+18,ok tenho que fazer uma redação,Tristeza
1.03E+18,queria ir numa noiite contigo :)) — :)) vamo ueee,Felicidade
1.03E+18,HAHAHA! Vergonha Alheia. Nem sou Bolsonariano,Sarcasmo
1.03E+18,Não sei se você chegou a ler,Dúvida
1.03E+18,Digam oi para a mais nova universitária :),Felicidade
1.03E+18,Sinto tristeza por aquela pessoa q n tem a capacidade de falar na cara td oq pensa :),Raiva
1.03E+18,Ahhhh tbm quero ver essa foto tua sem camisa de calção e de meia,Sarcasmo
1.03E+18,Uma cena tão simples que me magoou tanto :),
1.03E+18,Meninada :) A partir de Setembro,
1.03E+18,Nao consigo dormir :))))),
1.03E+18,vou nem falar nada,
1.03E+18,Vais te arrepender :))),
1.03E+18,Cheguei a casa :)),
1.03E+18,17. Noite :) credo detesto manhã,
1.03E+18,Qnd quero mesmo dormir não tenho sono,
1.03E+18,to orgulhosa de mim :),
1.03E+18,Te adimiro muito :) pela pessoa humilde que é :) — ahh,
1.03E+18,19. Nao :p,
1.03E+18,fingir demência é smp a melhor opção :),
1.03E+18,ai to muito feliz que eu to percebendo cada vaz mais que minha pele so melhora :D,
1.03E+18,zé neto e cristiano :)))))))��������,
1.03E+18,QUERO TODOS VOCÊS NO MEU 2019. &lt;3 (Já vou deixar bem claro,
1.03E+18,Se tivesse um namorado não iria ficar loca atrás de música e nem dos meus ídolos o tempo inteiro ou faria ele ouvir minhas músicas :),
1.03E+18,ia morrendo mas pelo menos comi um gelado :),
1.03E+18,Te acho uma pessoa super simpática,
1.03E+18,Update o meu bb trouxe me água :)),
1.03E+18,Amanhã é o dia mais puxado,
1.03E+18,fui inútil de novo e não vou terminar isso a tempo :),
1.03E+18,Maaaas,
1.03E+18,A fila anda,
