id,tweet_text,,,,,,,,,,,
1.05079E+18,aaaaaaaa amei tanto essas polaroids,,,,,,,,,,,
1.05079E+18,Valoriza o coração do menininho que vc tem. Ele é diferente. O faça sorrir e ter certeza disso ❤️ — Eu valorizo todo mundo na minha vida,,,,,,,,,,,
1.05079E+18,Amanha vou ver venom :D,,,,,,,,,,,
1.05079E+18,A partir de segunda começa uma nova rotina,,,,,,,,,,,
1.05079E+18,tou a ver videos de cabrinhas bebés :D,,,,,,,,,,,
1.05078E+18,Feliz dia das crianças :) Eu e Lula,,,,,,,,,,,
1.05078E+18,Quero agradecer aos novos seguidores. Eu ainda estou aqui graças a vcs! :),,,,,,,,,,,
1.05078E+18,Já estou na #BGS2018 :),,,,,,,,,,,
1.05078E+18,Ora portanto,,,,,,,,,,,
1.05078E+18,estudando ao som de chuva (e vendo também,,,,,,,,,,,
1.05078E+18,Ainda nesse contexto kids,,,,,,,,,,,
1.05078E+18,:D #Minhas #Promessas Não Foram #Falsas,,,,,,,,,,,
1.05078E+18,Uma coisa que nadja nunca será P R O T A G O N I S T A &lt;3 Mesmo eliminada sempre sendo lembrada e citada :) "ANA PAULA PROTAGONISTA",,,,,,,,,,,
1.05078E+18,Não des RT nas minhas cenas quando tu foste o mais lixo :),,,,,,,,,,,
1.05078E+18,esperei o ônibus por 1h e ainda peguei errado :) feriadou,,,,,,,,,,,
1.05078E+18,feliz dia das crianças pra você que dá em cima das minas mesmo tendo namorada :),,,,,,,,,,,
1.05078E+18,O taehyung em Londres è uma das coisas mais bonitas que eu já vi,,,,,,,,,,,
1.05078E+18,Feliz dia das crianças pra vc que é mal com outras pessoas para seus amigos te acharem legal :),,,,,,,,,,,
1.05078E+18,Hoje ta parecendo sabado to perdida :),,,,,,,,,,,
1.05078E+18,Está tudo bem :),,,,,,,,,,,
1.05078E+18,Tu tem MT teta — não,,,,,,,,,,,
1.05078E+18,Fingir que não me afeta :),,,,,,,,,,,
1.05078E+18,Brasileiro merece um troféu de ignorância :),,,,,,,,,,,
1.05078E+18,Me indique aqui uma música :),,,,,,,,,,,
1.05078E+18,a unica coisa radical q eu faço qnd mainha n ta em casa eh beber suco/refri na caneca pq ela odeia q eu faço isso :P,,,,,,,,,,,
1.05078E+18,NÃO FAÇO MAIS QUESTÃO :),,,,,,,,,,,
1.05078E+18,o primeiro a mandar a skin ganha 1 thumb :p,,,,,,,,,,,
1.05078E+18,Amo o twitter pq posso desabafar e além de eu ser flop e ninguém me aguentar reclamando,,,,,,,,,,,
1.05078E+18,É da VIDA mesmo :) seguindo S2,,,,,,,,,,,
1.05078E+18,oi gente hoje é meu aniversário :),,,,,,,,,,,
1.05078E+18,Hmm vou torrar a Internet ouvindo música no Spotify :P,,,,,,,,,,,
1.05078E+18,Uma cliente da minha madrinha disse que eu tinha um rabo redondinho daqueles que ela gosta de apalpar :-),,,,,,,,,,,
1.05078E+18,ficar sentado na sua casinha e encher os stories de discurso de ódio não resolve nada viu mores :D,,,,,,,,,,,
1.05078E+18,Se vos irrita pessoas andarem devagar a vossa frente,,,,,,,,,,,
1.05078E+18,Oi,,,,,,,,,,,
1.05078E+18,É hoje :))),,,,,,,,,,,
1.05078E+18,$5 cuidado com os falsos irmãos que estão sempre com você sempre se envolvendo nas mesmas balas existe muita maldade em silêncio :) #vou $$5,,,,,,,,,,,
1.05078E+18,Uma delas não me ignorou :),,,,,,,,,,,
1.05078E+18,Boo diia Povo :),,,,,,,,,,,
1.05078E+18,Lá porque sorrio não significa que seja feliz :)),,,,,,,,,,,
1.05078E+18,independente de gostar apenas do que o fp produz,,,,,,,,,,,
1.05078E+18,to feliz :))) primeira vez q eu falo isso com certeza desde o show do monsta,,,,,,,,,,,
1.05078E+18,12/10/2018 Chego a casa e dou com isto! :D,,,,,,,,,,,
1.05078E+18,eu corro atrás pra caralho,,,,,,,,,,,
1.05078E+18,comprei um cd novo :))),,,,,,,,,,,
1.05078E+18,caraca,,,,,,,,,,,
1.05078E+18,Eu e a Yasmyn nascemos pra tomar no cu :),,,,,,,,,,,
1.05078E+18,Não gosto de PSDB mas Doria LACROU d+ nesse horario eleitoral :D,,,,,,,,,,,
1.05078E+18,eu cortei o cabeloooo e mds eu gostei mt :)),,,,,,,,,,,
1.05078E+18,Tou bue feliz :))),,,,,,,,,,,
1.05078E+18,Feliz dia das crianças para todos,,,,,,,,,,,
1.05078E+18,Amizades começadas neste dia: Fernanda Oliveira Há 3 anos hoje Monica Morgante Há 4 anos hoje Simone Flor Há 5 anos hoje Marcio Rubens Há 8 anos hoje Flavia Gontijo Albernaz Há 9 anos hoje :D,,,,,,,,,,,
1.05078E+18,Fizemos barro e deu nisto genteeeee ,,,,,,,,,,,
1.05078E+18,tá todo mundo me tratando bem,,,,,,,,,,,
1.05078E+18,Como é bom estar indecisa entre 2 outfits :),,,,,,,,,,,
1.05078E+18,Há 3 coisas certas no Mundo: 1) a morte; 2) os impostos; 3) os posts do NGB sobre passivos em que 2+2 não é = 4 mas sim = ao que ele quiser. :),,,,,,,,,,,
1.05078E+18,espumando de ódio por dentro :),,,,,,,,,,,
1.05078E+18,:) oq q é suposto responder?,,,,,,,,,,,
1.05078E+18,A busca de Deus é a busca da alegria. O encontro com Deus é a própria alegria. Bom dia! : ),,,,,,,,,,,
1.05078E+18,"""fuzilar esse povo todo"" esse é o cidadão de bem falando sobre o pessoal de esquerda :)",,,,,,,,,,,
1.05078E+18,Acelerei ele até o local que comprei o chopp e ele me pagou outro :),,,,,,,,,,,
1.05078E+18,minha internet so funciona o whats e eu n falo com ngm :) show,,,,,,,,,,,
1.05078E+18,Lembrando que quase bati no maluco ontem pq chutou meu colo de chopp :)),,,,,,,,,,,
1.05078E+18,ep 7 da temporada 19 dos simpsons tem uma referência ao videoclip da Here It Goes Again dos OK Go :))),,,,,,,,,,,
1.05078E+18,gente na boa esquece ciro gomes. já foi,,,,,,,,,,,
1.05078E+18,No final das contas minha irmã passou lá pegar. Realmente nada me fazia grande falta,,,,,,,,,,,
1.05078E+18,αmigo; eu to αqui prα ti pedir desculpαs em ti dαr os pαrαbéns αtrαsαdo ;x ‘αliαs como dizem,,,,,,,,,,,
1.05078E+18,não devem ter casacos :),,,,,,,,,,,
1.05078E+18,Não sou boa com textinhos. Mas mesmo assim,,,,,,,,,,,
1.05078E+18,O inferno de terminar um relacionamento depois de muito tempo é que tem umas coisas que tinham uso compartilhado,,,,,,,,,,,
1.05078E+18,Mais um feriado sozinha :),,,,,,,,,,,
1.05078E+18,Acc avail ? DM aja biar fastresp :),,,,,,,,,,,
1.05078E+18,Vai tudo sair hoje e eu vou ficar em casa :)),,,,,,,,,,,
1.05078E+18,Daqui a 1 semana vou meter o aparelho de cima :),,,,,,,,,,,
1.05078E+18,#EuQMandoTwitter hey,,,,,,,,,,,
1.05078E+18,Sozinha até às 18:45 :)),,,,,,,,,,,
1.05078E+18,A minha stora de historia odeia me :),,,,,,,,,,,
1.05078E+18,inclusive,,,,,,,,,,,
1.05078E+18,Só pq eu queria muito sol pra piscina amanhã,,,,,,,,,,,
1.05078E+18,Jon Foreman salva o dia mesmo! :P,,,,,,,,,,,
1.05078E+18,Seu carinho por mim é tão bom,,,,,,,,,,,
1.05078E+18,Ainda bem que eu me considero uma criança :),,,,,,,,,,,
1.05078E+18,Tamo no jogo :))),,,,,,,,,,,
1.05078E+18,Ah é tão bom quando as pessoas retribuem a energia q vc coloca nelas :)),,,,,,,,,,,
1.05078E+18,Voltei! Eu não estava me sentindo muito bem quando eu desativei minha conta. O que eu perdi? :),,,,,,,,,,,
1.05078E+18,VIVA NOSSA MÃE APARECIDA! &lt;3 :) Quando o pescador João Alves retirou das águas do Rio Paraíba do Sul a imagem quebrada de Nossa Senhora Imaculada Conceição,,,,,,,,,,,
1.05078E+18,E ainda é corruputo sim,,,,,,,,,,,
1.05078E+18,Teve charge nova lá no meu Instagram ontem,,,,,,,,,,,
1.05078E+18,lição: ter filho é legal demais :),,,,,,,,,,,
1.05078E+18,É lindo ver o amor na fala de Bolsonaro quando fala de sua filha Laura. :) Quem é pai de menina sabe... #Bolsonaro17,,,,,,,,,,,
1.05078E+18,tds os amigos q me ajudaram muito obg desarquivei minhas fotos vcs sao demais :))))),,,,,,,,,,,
1.05078E+18,Depois de alguns dias escrevendo esse artigo,,,,,,,,,,,
1.05078E+18,Ide todos poh caralho :),,,,,,,,,,,
1.05078E+18,Sou muito burra,,,,,,,,,,,
1.05078E+18,Parabéns � pra esse BB que a um ano vem me conquistando cada veis mais e mais com sua alegria,,,,,,,,,,,
1.05078E+18,Meu cc só não tá mais sumido que eu,,,,,,,,,,,
1.05078E+18,Eu to pagando a minha formatura sozinho e hj o meu pai apareceu com um computador de desktop sendo que tem 2 notebooks em cada. Tô bem feliz :),,,,,,,,,,,
1.05078E+18,Gravei esse podcast 1h depois de ter extraído um dente e estar com 3 pontos na boca,,,,,,,,,,,
1.05078E+18,Tive a dormir até agr :)) soube mm bem,,,,,,,,,,,
1.05078E+18,Adormeci de lentes agora pq não tinha sítio onde as meter se tirasse e agora sinto-as coladas :),,,,,,,,,,,
1.05078E+18,Felicidade é que volto trabalhar só segunda.. :),,,,,,,,,,,
1.05078E+18,Obrigada anjos, Suji, ZN, yoonjo, Hyunjoo, Jiwon, Euijin ♥️ esse não é um fim, mas um novo início que se Deus quiser será ainda mais bonito :) #Thank_You_Unit;Fri Oct 12 16:00:53 +0000 2018;1;:),,,,
1.05078E+18,Esta gostando de alguém? Se sim,,,,,,,,,,,
1.05078E+18,Cheguei agora a casa e daqui a 2h vou trabalhar outra vez :),,,,,,,,,,,
1.05078E+18,Partilhamos o resumo da Iª Semana do Sínodo dos Bispos sobre a Juventude. Video realizado pelo Serviço de Juventude de Lisboa com a participação do Tomás Virtuoso,,,,,,,,,,,
1.05078E+18,O velho me ensinou a gostar de trabalhar :D,,,,,,,,,,,
1.05078E+18,feliz dia das crianças para mim! quero presente tá :),,,,,,,,,,,
1.05078E+18,COMEÇOU O primeiro programa do guia eleitoral #Haddad13 ficou show :),,,,,,,,,,,
1.05078E+18,Ia ficando sem unha :),,,,,,,,,,,
1.05078E+18,Queria um presentinho de dia das crianças :),,,,,,,,,,,
1.05078E+18,Camiie_k :),,,,,,,,,,,
1.05078E+18,Até quero ver como é que amanhã vou estar a horas no cartório :)),,,,,,,,,,,
1.05078E+18,vou sair do tt,,,,,,,,,,,
1.05078E+18,tem um homem cantando no metro aqui meu deus eu só quero dar uma voadora :),,,,,,,,,,,
1.05078E+18,ultima coisa,,,,,,,,,,,
1.05078E+18,O meu instrutor enervar-me tanto e está sempre a chamar me Ana Rita,,,,,,,,,,,
1.05078E+18,Felizmente já aprendi a cagar nas atitudes nojentas e infantis das outras pessoas. Just move on :P,,,,,,,,,,,
1.05078E+18,Se dormir já é bom,,,,,,,,,,,
1.05078E+18,Boa tarde e feliz dia das crianças pra vocês que são um neném igual eu :),,,,,,,,,,,
1.05078E+18,O dia das crianças é um dos mais especiais do ano,,,,,,,,,,,
1.05078E+18,feliz dia das atitudes de vcs :),,,,,,,,,,,
1.05078E+18,bom,,,,,,,,,,,
1.05078E+18,feriado regado a muita ansiedade e sensação de sufoco na garganta :),,,,,,,,,,,
1.05078E+18,con aceite corporal nena todo se resbala :p,,,,,,,,,,,
1.05078E+18,Consegui o Mew e o Celebi hj #happy :),,,,,,,,,,,
1.05078E+18,Tanto dizia que a Jéssica era tua Melhor Amiga,,,,,,,,,,,
1.05078E+18,Fizeram strogonoff :) É de frango :(,,,,,,,,,,,
1.05078E+18,Acordei com papai fazendo o almoço maravilhoso que ele sabe fazer,,,,,,,,,,,
1.05078E+18,Minha família alugou sitio de ontem a domingo e eu não vou porque to trabalhando :)))))))),,,,,,,,,,,
1.05078E+18,hoje eu queria ir na expo,,,,,,,,,,,
1.05078E+18,Vou ir assistir ao novo episódio de AHS: Apocalypse e almoçar :),,,,,,,,,,,
1.05078E+18,Ficar sozinha em casa: amo Fazer meu almoço: odeio :),,,,,,,,,,,
1.05078E+18,haters: "nct veio de berço de ouro. privilegiados da big3" mark lee mandando a real pra vcs em 'my van': "vc está errado sobre os idols da sm. é mais difícil de ser comprometido doq vc pensa. vc pode querer ser eu,,,,,,,,,,,
1.05078E+18,to arrumando minha mala :),,,,,,,,,,,
1.05078E+18,Ja ta mais uma :)))),,,,,,,,,,,
1.05078E+18,Momentos diferentes mas para sempre :),,,,,,,,,,,
1.05078E+18,Mas tirando isso,,,,,,,,,,,
1.05078E+18,é sempre mt bom ver parece sempre a primeira vez :),,,,,,,,,,,
1.05078E+18,eu falo muito palavrao e meus amigos nao gostam quando eu falo ai eu mando eles se foderem :),,,,,,,,,,,
1.05077E+18,a partir do momento que a pessoa visualiza e não me responde,,,,,,,,,,,
1.05077E+18,Parabéns,,,,,,,,,,,
1.05077E+18,puu pa puu um dia memorável :´) #happyjiminday,,,,,,,,,,,
1.05077E+18,Hoje ganhei o dia de tantas maneiras,,,,,,,,,,,
1.05077E+18,Cheguei!!!! :),,,,,,,,,,,
1.05077E+18,to feliz agr :),,,,,,,,,,,
1.05077E+18,Meu tio me deu 50 reais :))))))))))),,,,,,,,,,,
1.05077E+18,porque é que está gd fila na bilheteria dos comboios em Évora??? :)))),,,,,,,,,,,
1.05077E+18,Fala Galera,,,,,,,,,,,
1.05077E+18,percebo que eu sou um lixo que não faz diferença qnd falo com as pessoas e elas não me dão atenção,,,,,,,,,,,
1.05077E+18,Acho q o meu problema de chorar é genético,,,,,,,,,,,
1.05077E+18,Cheguei 10 min mais cedo à explica :)) uau Evaaa,,,,,,,,,,,
1.05077E+18,Feliz dia das crianças pra mim,,,,,,,,,,,
1.05077E+18,comprei boné novo sto feliz :),,,,,,,,,,,
